time_min	time_mean	time_maxl	time_max	ra	quality	psi	logw	loghrss	logprior	logl	frequency	deltaloglv1	deltalogll1	deltaloglh1	deltalogl	dec	alpha	lal_approximant	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143833e+09	1.10631698148418e+09	8.04744482040405e-01	4.76978291251541e+01	2.65968976850761e-02	-2.24920384973544e+01	-4.92168469428241e+01	1.47235891680885e+02	-3.79397940307310e+04	2.22978937058108e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.50728257424351e+02	8.49215924739838e-01	5.66253423367352e+00	0.00000000000000e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143882e+09	1.10631698148418e+09	8.04744482040405e-01	4.19511724741162e+01	2.66016890224001e+00	-1.99710770784622e+01	-4.91583765529039e+01	1.47060480511124e+02	-3.79397910087767e+04	2.23283196235399e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.50731279378560e+02	8.49215924739838e-01	5.80431059779574e+00	0.00000000000000e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143857e+09	1.10631698148418e+09	8.04744482040405e-01	5.41040432143289e+01	2.84202439132228e+00	-2.15221012030144e+01	-4.94271796252950e+01	1.47866889728298e+02	-3.79397901141078e+04	2.23462516049506e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.50732174047473e+02	8.49215924739838e-01	3.05483122026504e+00	0.00000000000000e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143894e+09	1.10631698148418e+09	8.04744482040405e-01	4.65779963473038e+01	1.90816471380861e+00	-2.25570672003203e+01	-4.90720642491137e+01	1.46801543599754e+02	-3.79397868652927e+04	2.23138374763465e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.50735422862585e+02	8.49215924739838e-01	5.25040937507169e+00	0.00000000000000e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143882e+09	1.10631698148418e+09	8.04744482040405e-01	4.44462932319334e+01	1.21067394736604e+00	-2.30679109564073e+01	-4.94011528854966e+01	1.47788809508902e+02	-3.79397801174915e+04	2.23500590229455e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.50742170663805e+02	8.49215924739838e-01	2.74444729734946e+00	0.00000000000000e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143857e+09	1.10631698148418e+09	8.04744482040405e-01	4.29964141284259e+01	2.66017027080961e+00	-2.29189615441686e+01	-4.91410344120600e+01	1.47008454088593e+02	-3.79397731393363e+04	2.23698755810413e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.50749148819035e+02	8.49215924739838e-01	3.08527391275564e+00	0.00000000000000e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143857e+09	1.10631698148418e+09	8.04744482040405e-01	4.82165213360075e+01	2.99059142580573e+00	-2.32271051447066e+01	-4.94555747094259e+01	1.47952074980690e+02	-3.79397648715608e+04	2.23830315667928e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.50757416594526e+02	8.49215924739838e-01	2.78667898304441e+00	0.00000000000000e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143894e+09	1.10631698148418e+09	8.04744482040405e-01	4.36832126237900e+01	1.81913126032490e+00	-2.22515641919195e+01	-4.91822026122321e+01	1.47131958689109e+02	-3.79397619483173e+04	2.23229002071371e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.50760339837972e+02	8.49215924739838e-01	5.17639959684817e+00	0.00000000000000e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143845e+09	1.10631698148418e+09	8.04744482040405e-01	4.92928393728834e+01	5.84172309281465e-01	-2.18208987877492e+01	-4.93890969557829e+01	1.47752641719761e+02	-3.79397608747008e+04	2.23112876274541e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.50761413454478e+02	8.49215924739838e-01	1.66868638677632e+00	0.00000000000000e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143870e+09	1.10631698148418e+09	8.04744482040405e-01	4.87147179578216e+01	4.58433115887768e-01	-1.93727532565015e+01	-4.94245340657696e+01	1.47858953049722e+02	-3.79397597883377e+04	2.22962600342378e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.50762499817560e+02	8.49215924739838e-01	5.16010115625384e+00	0.00000000000000e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143760e+09	1.10631698148418e+09	8.04744482040405e-01	4.08865990528344e+01	2.85957787124980e-01	-2.23328390452166e+01	-4.91048861113773e+01	1.46900009186545e+02	-3.79397558034271e+04	2.22147462567852e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.50766484728192e+02	8.49215924739838e-01	2.01302716060797e+00	0.00000000000000e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143870e+09	1.10631698148418e+09	8.04744482040405e-01	5.14976827362587e+01	1.96502056042932e+00	-2.30189611965567e+01	-4.93302117363382e+01	1.47575986061427e+02	-3.79397534719204e+04	2.24404022284314e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.50768816234951e+02	8.49215924739838e-01	1.89953727580013e+00	0.00000000000000e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143857e+09	1.10631698148418e+09	8.04744482040405e-01	4.39806242487755e+01	1.37792379609608e+00	-2.04581253990503e+01	-4.94775021395245e+01	1.48017857270986e+02	-3.79397382174564e+04	2.23944938636789e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.50784070698945e+02	8.49215924739838e-01	6.07709206906983e+00	0.00000000000000e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143857e+09	1.10631698148418e+09	8.04744482040405e-01	4.70608284706077e+01	2.79806833074140e+00	-2.31996418088588e+01	-4.93715382891188e+01	1.47699965719769e+02	-3.79397349582957e+04	2.22278074210207e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.50787329859646e+02	8.49215924739838e-01	2.94396081415631e+00	0.00000000000000e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143845e+09	1.10631698148418e+09	8.04744482040405e-01	5.21689647173273e+01	6.70635980092676e-01	-2.17679193534664e+01	-4.93927618724797e+01	1.47763636469852e+02	-3.79397290095895e+04	2.23405974415270e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.50793278565841e+02	8.49215924739838e-01	1.91746195722512e+00	0.00000000000000e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143906e+09	1.10631698148418e+09	8.04744482040405e-01	4.86288427371858e+01	2.62876758652689e+00	-2.31124399288809e+01	-4.91189950640627e+01	1.46942336044601e+02	-3.79397286533109e+04	2.24000679258006e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.50793634844427e+02	8.49215924739838e-01	2.56585256135548e+00	0.00000000000000e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143882e+09	1.10631698148418e+09	8.04744482040405e-01	4.79031217194290e+01	2.82614292292022e+00	-2.22440753670933e+01	-4.92325605580881e+01	1.47283032526677e+02	-3.79397255283872e+04	2.23825980718980e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.50796759768127e+02	8.49215924739838e-01	5.59548620991820e+00	0.00000000000000e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143833e+09	1.10631698148418e+09	8.04744482040405e-01	4.55839207320754e+01	1.57775750584678e+00	-2.30324368789090e+01	-4.92740470621170e+01	1.47407492038764e+02	-3.79397226553075e+04	2.22931708485369e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.50799632847855e+02	8.49215924739838e-01	2.51211009888997e+00	0.00000000000000e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143845e+09	1.10631698148418e+09	8.04744482040405e-01	4.65499407772603e+01	2.14585049409053e+00	-2.30640314985710e+01	-4.93860766517389e+01	1.47743580807629e+02	-3.79397150698816e+04	2.23186497604857e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.50807218273694e+02	8.49215924739838e-01	4.82904184326776e+00	0.00000000000000e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143748e+09	1.10631698148418e+09	8.04744482040405e-01	4.40719348349573e+01	1.20699912214103e+00	-2.30008553984153e+01	-4.92648716322289e+01	1.47379965749099e+02	-3.79397106110840e+04	2.22333411902921e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.50811677071339e+02	8.49215924739838e-01	2.66493615902460e+00	0.00000000000000e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143857e+09	1.10631698148418e+09	8.04744482040405e-01	4.52979849305593e+01	2.97659586148708e+00	-2.27721681681580e+01	-4.93249071510089e+01	1.47560072305440e+02	-3.79396972930010e+04	2.23694962482810e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.50824995154282e+02	8.49215924739838e-01	2.50815792345443e+00	0.00000000000000e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143845e+09	1.10631698148418e+09	8.04744482040405e-01	4.43728655590650e+01	6.69078647374720e-01	-2.23596553476930e+01	-4.94216132654483e+01	1.47850190648758e+02	-3.79396872965357e+04	2.23254552107169e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.50834991619624e+02	8.49215924739838e-01	1.84185371595274e+00	0.00000000000000e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143857e+09	1.10631698148418e+09	8.04744482040405e-01	5.09996132332040e+01	1.39742279980433e+00	-2.24291564351632e+01	-4.92332822269712e+01	1.47285197533326e+02	-3.79396867377563e+04	2.23356758379277e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.50835550399046e+02	8.49215924739838e-01	5.87863446896026e+00	0.00000000000000e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143857e+09	1.10631698148418e+09	8.04744482040405e-01	4.30902671582157e+01	2.70166428351111e+00	-2.24253109651340e+01	-4.91584760297004e+01	1.47060778941514e+02	-3.79396859348592e+04	2.22730910778378e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.50836353296108e+02	8.49215924739838e-01	3.08495633685502e+00	0.00000000000000e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143772e+09	1.10631698148418e+09	8.04744482040405e-01	4.57695596717587e+01	2.59186327565881e+00	-2.30170333643502e+01	-4.91051303024297e+01	1.46900741759702e+02	-3.79396817289965e+04	2.22493960875834e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.50840559158853e+02	8.49215924739838e-01	2.49084970263209e+00	0.00000000000000e+00	
