time_min	time_mean	time_maxl	time_max	ra	psi	logw	loghrss	logprior	logl	frequency	deltaloglv1	deltalogll1	deltaloglh1	deltalogl	dec	bandwidth	alpha	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143857e+09	1.10631698148418e+09	8.04744482040405e-01	2.80619687955177e+00	-4.94507052042224e+01	-4.93709741628355e+01	1.10022165463991e+02	-3.79415630313389e+04	2.23294899150018e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.48959256816444e+02	8.49215924739838e-01	3.76761078769281e+01	2.82027051054572e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143882e+09	1.10631698148418e+09	8.04744482040405e-01	1.12888311951846e+00	-5.02006438716494e+01	-4.90755142903180e+01	1.07496262279908e+02	-3.79415626635414e+04	2.23748770025666e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.48959624613861e+02	8.49215924739838e-01	3.93156314434587e+01	2.59590374327771e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143857e+09	1.10631698148418e+09	8.04744482040405e-01	1.30693119692608e+00	-4.83851830578019e+01	-4.93364101146278e+01	1.09455433248421e+02	-3.79415624341554e+04	2.23781128511995e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.48959853999891e+02	8.49215924739838e-01	3.81391479478752e+01	5.81203547769987e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143857e+09	1.10631698148418e+09	8.04744482040405e-01	1.32810706821315e+00	-4.98581413782748e+01	-4.93809050345872e+01	1.09694604144904e+02	-3.79415603467476e+04	2.23422511579349e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.48961941407659e+02	8.49215924739838e-01	3.80334618112700e+01	5.88168768283917e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143857e+09	1.10631698148418e+09	8.04744482040405e-01	1.34730003152061e+00	-4.97806485131052e+01	-4.93635801797952e+01	1.09393057770681e+02	-3.79415593988711e+04	2.23487750753375e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.48962889284223e+02	8.49215924739838e-01	3.82830336211169e+01	5.95159819611704e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143870e+09	1.10631698148418e+09	8.04744482040405e-01	3.60805493857209e-01	-4.67799805687480e+01	-4.92562547305616e+01	1.10069205508233e+02	-3.79415577056185e+04	2.23277609046093e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.48964582536792e+02	8.49215924739838e-01	3.72849095358650e+01	5.04285082209001e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143857e+09	1.10631698148418e+09	8.04744482040405e-01	1.16083058268113e+00	-4.89696481573065e+01	-4.92433643441664e+01	1.09362596266045e+02	-3.79415474272345e+04	2.23436700294544e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.48974860920855e+02	8.49215924739838e-01	3.79528476188665e+01	5.97214961424752e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143857e+09	1.10631698148418e+09	8.04744482040405e-01	1.18922326795674e+00	-4.93423770128392e+01	-4.92662885843236e+01	1.09895015599030e+02	-3.79415453466673e+04	2.23286029496689e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.48976941488036e+02	8.49215924739838e-01	3.74892010063539e+01	6.08082821269280e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143857e+09	1.10631698148418e+09	8.04744482040405e-01	2.81416730665856e+00	-5.00026838994837e+01	-4.92838905090471e+01	1.08860176322267e+02	-3.79415435386275e+04	2.24087620538541e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.48978749527821e+02	8.49215924739838e-01	3.85768460572866e+01	2.83591544798931e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143857e+09	1.10631698148418e+09	8.04744482040405e-01	1.19327965645360e+00	-4.90672835142472e+01	-4.92849106898200e+01	1.09932145324430e+02	-3.79415432728176e+04	2.23847465914298e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.48979015337718e+02	8.49215924739838e-01	3.75079375974424e+01	6.03577660628860e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143882e+09	1.10631698148418e+09	8.04744482040405e-01	1.08032609625899e+00	-4.83909416743271e+01	-4.92230093985944e+01	1.08925388887647e+02	-3.79415407255269e+04	2.23595864331830e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.48981562628433e+02	8.49215924739838e-01	3.83289901605492e+01	2.77151648544206e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143857e+09	1.10631698148418e+09	8.04744482040405e-01	2.88543284518334e+00	-5.01412748050594e+01	-4.92890061107745e+01	1.09637121315999e+02	-3.79415367743974e+04	2.23303200035108e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.48985513757929e+02	8.49215924739838e-01	3.78152478687369e+01	2.68307520290643e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143870e+09	1.10631698148418e+09	8.04744482040405e-01	3.52073962713797e-01	-4.93636595083599e+01	-4.91780677266193e+01	1.09122820510879e+02	-3.79415336643080e+04	2.24130274458170e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.48988623847275e+02	8.49215924739838e-01	3.79967335213918e+01	5.11641931795395e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143857e+09	1.10631698148418e+09	8.04744482040405e-01	2.92922895115100e+00	-4.87162186720099e+01	-4.93068151484746e+01	1.07494489909470e+02	-3.79415332697144e+04	2.23525518085190e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.48989018440880e+02	8.49215924739838e-01	4.00113063883669e+01	2.89937150236782e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143845e+09	1.10631698148418e+09	8.04744482040405e-01	3.79651097530006e-01	-5.02047615170767e+01	-4.93139127019899e+01	1.05697387976129e+02	-3.79415270781275e+04	2.23351343544446e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.48995210027781e+02	8.49215924739838e-01	4.18297009822532e+01	1.66540647303975e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143882e+09	1.10631698148418e+09	8.04744482040405e-01	1.07400294208662e+00	-4.83833562863355e+01	-4.91459966976870e+01	1.06382086493920e+02	-3.79415268509461e+04	2.22838817641625e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.48995437209189e+02	8.49215924739838e-01	4.06412544515534e+01	2.81058659842024e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143857e+09	1.10631698148418e+09	8.04744482040405e-01	1.25007059805968e+00	-4.62910065226553e+01	-4.93589815100180e+01	1.08834890284251e+02	-3.79415267286027e+04	2.24111108684777e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.48995559552590e+02	8.49215924739838e-01	3.88274050982156e+01	6.05064204160506e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143857e+09	1.10631698148418e+09	8.04744482040405e-01	1.27346056775207e+00	-5.01609754524047e+01	-4.92998083600704e+01	1.07495382054945e+02	-3.79415247662795e+04	2.24207484551881e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.48997521875834e+02	8.49215924739838e-01	3.99893938776786e+01	5.84634194895053e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143857e+09	1.10631698148418e+09	8.04744482040405e-01	1.24899195337419e+00	-4.96136736215486e+01	-4.94110525303954e+01	1.09147124374659e+02	-3.79415225485984e+04	2.23658264033215e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.48999739556915e+02	8.49215924739838e-01	3.86713840689396e+01	6.14053199145291e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143870e+09	1.10631698148418e+09	8.04744482040405e-01	3.58432714732601e-01	-4.93404718706279e+01	-4.92278452368603e+01	1.08938390591255e+02	-3.79415222246510e+04	2.24287485322217e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.49000063504274e+02	8.49215924739838e-01	3.83304959717391e+01	5.07777023752634e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143870e+09	1.10631698148418e+09	8.04744482040405e-01	3.71152234377376e-01	-4.85935202216311e+01	-4.91861153414170e+01	1.09637768708776e+02	-3.79415215794402e+04	2.23250482257214e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.49000708715124e+02	8.49215924739838e-01	3.75059281678874e+01	5.09999567245759e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143857e+09	1.10631698148418e+09	8.04744482040405e-01	1.23762593016305e+00	-4.80876441731212e+01	-4.93821261020895e+01	1.08607936680985e+02	-3.79415201348810e+04	2.22890605979184e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.49002153274268e+02	8.49215924739838e-01	3.91237924776962e+01	5.94984141464689e+00	
