time_min	time_mean	time_maxl	time_max	ra	psi	logw	loghrss	logprior	logl	frequency	deltaloglv1	deltalogll1	deltaloglh1	deltalogl	dec	bandwidth	alpha	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143528e+09	1.10631698148418e+09	8.04744482040405e-01	2.21585418179204e+00	-2.58317210331882e+01	-4.95116632282675e+01	1.48120340537215e+02	-3.78981934068471e+04	1.53605277807144e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.92328881308247e+02	8.49215924739838e-01	9.93970447573462e+01	2.21175998735310e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143528e+09	1.10631698148418e+09	8.04744482040405e-01	7.06801392059550e-01	-2.49630852930920e+01	-4.95385789557796e+01	1.48201087719752e+02	-3.78981917335519e+04	1.52738915355535e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.92330554603446e+02	8.49215924739838e-01	9.95064415513874e+01	5.24219232085924e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143516e+09	1.10631698148418e+09	8.04744482040405e-01	2.81776932710187e+00	-2.43697324388035e+01	-4.94487023524350e+01	1.47931457909718e+02	-3.78981894895667e+04	1.53628466330018e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.92332798588599e+02	8.49215924739838e-01	9.82589026695790e+01	2.51998237970614e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143528e+09	1.10631698148418e+09	8.04744482040405e-01	6.61659183303315e-01	-2.55723962426478e+01	-4.95038565227061e+01	1.48096920420531e+02	-3.78981830274905e+04	1.54524741772619e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.92339260664827e+02	8.49215924739838e-01	9.97967975951675e+01	5.35950264188053e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143516e+09	1.10631698148418e+09	8.04744482040405e-01	1.18756535429074e+00	-2.30817253243815e+01	-4.94815937687736e+01	1.48030132158733e+02	-3.78981805732266e+04	1.53891442370357e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.92341714928742e+02	8.49215924739838e-01	9.80978586587219e+01	5.78865465814146e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143528e+09	1.10631698148418e+09	8.04744482040405e-01	6.56434837027037e-01	-2.30251483361955e+01	-4.94228704096269e+01	1.47853962081293e+02	-3.78981771832513e+04	1.53124614536070e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.92345104903987e+02	8.49215924739838e-01	9.85243998485678e+01	5.39063968975843e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143528e+09	1.10631698148418e+09	8.04744482040405e-01	2.23420229720690e+00	-2.58697994908736e+01	-4.93453643254630e+01	1.47621443828802e+02	-3.78981739597908e+04	1.52930840737946e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.92348328364540e+02	8.49215924739838e-01	9.95319367332558e+01	2.28531455029712e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143516e+09	1.10631698148418e+09	8.04744482040405e-01	2.75541619858914e+00	-2.48372142634056e+01	-4.95288559349011e+01	1.48171918657116e+02	-3.78981669877148e+04	1.51163513737741e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.92355300440460e+02	8.49215924739838e-01	9.93954720987856e+01	2.66696394346774e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143516e+09	1.10631698148418e+09	8.04744482040405e-01	2.68737909573682e+00	-2.58359341079156e+01	-4.94487760849451e+01	1.47931679107248e+02	-3.78981633940045e+04	1.52479965285956e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.92358894150799e+02	8.49215924739838e-01	9.98582761077502e+01	2.79736647655110e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143528e+09	1.10631698148418e+09	8.04744482040405e-01	2.24360960138984e+00	-2.48965729995013e+01	-4.93978001973001e+01	1.47778751444313e+02	-3.78981622911281e+04	1.53993210528122e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.92359997027175e+02	8.49215924739838e-01	9.85838791153741e+01	2.22857226125172e+00	
